<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<DATETIME>
12009.29,12027.76,12006.67,12019.61,0,0,2024-03-27 04:00:00
12012.13,12031.24,12009.38,12029.28,0,0,2024-03-27 05:00:00
12010.66,12010.66,12010.66,12010.66,0,0,2024-03-27 06:00:00
12002.18,12023.42,11992.09,12022.02,0,0,2024-03-28 01:00:00
12025.45,12070.4,12023.86,12069.78,0,0,2024-03-28 02:00:00
12071.38,12098.38,12067.4,12098.0,0,0,2024-03-28 03:00:00
12096.2,12116.78,12093.14,12106.39,0,0,2024-03-28 04:00:00
12106.58,12108.29,12062.34,12072.93,0,0,2024-03-28 05:00:00
12105.29,12105.29,12105.29,12105.29,0,0,2024-03-28 06:00:00
12056.82,12062.39,12032.37,12055.02,0,0,2024-04-02 01:00:00
12052.56,12055.69,12033.22,12048.53,0,0,2024-04-02 02:00:00
12062.82,12071.14,12059.48,12071.14,0,0,2024-04-02 03:00:00
12073.81,12084.51,12069.19,12070.81,0,0,2024-04-02 04:00:00
12072.01,12082.22,12063.69,12075.92,0,0,2024-04-02 05:00:00
12073.79,12086.52,12065.54,12068.67,0,0,2024-04-02 06:00:00
12095.85,12095.85,12095.85,12095.85,0,0,2024-04-02 07:00:00
12027.22,12032.98,11998.03,12013.23,0,0,2024-04-03 01:00:00
12012.11,12015.69,11972.21,11993.93,0,0,2024-04-03 02:00:00
11994.41,11994.41,11972.18,11976.95,0,0,2024-04-03 03:00:00
11976.8,11988.21,11957.82,11983.6,0,0,2024-04-03 04:00:00
11980.39,11990.73,11974.68,11983.41,0,0,2024-04-03 05:00:00
11985.59,12040.49,11982.68,12040.49,0,0,2024-04-03 06:00:00
12040.49,12040.49,12040.49,12040.49,0,0,2024-04-03 07:00:00
12014.68,12022.92,11999.72,11999.72,0,0,2024-04-04 01:00:00
12004.12,12025.47,12000.29,12019.97,0,0,2024-04-04 02:00:00
12018.39,12024.79,11996.29,12000.93,0,0,2024-04-04 03:00:00
12001.68,12024.74,12001.68,12015.38,0,0,2024-04-04 04:00:00
12017.47,12038.91,12013.99,12016.32,0,0,2024-04-04 05:00:00
12018.05,12032.34,12015.25,12025.16,0,0,2024-04-04 06:00:00
12035.26,12035.26,12035.26,12035.26,0,0,2024-04-04 07:00:00
11938.5,11962.74,11936.91,11961.77,0,0,2024-04-05 01:00:00
11963.24,12000.74,11963.24,12000.73,0,0,2024-04-05 02:00:00
12001.91,12010.38,11989.4,11996.1,0,0,2024-04-05 03:00:00
11995.29,11997.1,11976.07,11976.07,0,0,2024-04-05 04:00:00
11972.44,11973.89,11929.76,11939.94,0,0,2024-04-05 05:00:00
11944.52,12012.24,11944.41,12012.24,0,0,2024-04-05 06:00:00
12012.24,12012.24,12012.24,12012.24,0,0,2024-04-05 07:00:00
11960.62,11965.85,11925.4,11944.45,0,0,2024-04-08 01:00:00
11943.71,11965.31,11943.71,11960.96,0,0,2024-04-08 02:00:00
11957.87,12008.28,11957.87,11977.38,0,0,2024-04-08 03:00:00
11976.55,11981.89,11954.42,11958.29,0,0,2024-04-08 04:00:00
11957.11,11966.18,11951.25,11957.85,0,0,2024-04-08 05:00:00
11955.22,11959.09,11943.8,11943.8,0,0,2024-04-08 06:00:00
11941.79,11973.59,11937.65,11973.59,0,0,2024-04-08 07:00:00
11924.09,11926.98,11900.31,11900.31,0,0,2024-04-09 01:00:00
11901.04,11916.78,11893.39,11910.49,0,0,2024-04-09 02:00:00
11912.79,11933.54,11900.49,11906.75,0,0,2024-04-09 03:00:00
11906.09,11917.83,11893.08,11916.9,0,0,2024-04-09 04:00:00
11916.56,11917.33,11894.5,11896.69,0,0,2024-04-09 05:00:00
11895.77,11916.19,11895.77,11903.92,0,0,2024-04-09 06:00:00
11906.81,11916.78,11899.13,11916.78,0,0,2024-04-09 07:00:00
11870.56,11888.79,11868.47,11875.65,0,0,2024-04-10 01:00:00
11875.03,11921.15,11875.03,11921.15,0,0,2024-04-10 02:00:00
11922.07,11953.53,11914.49,11953.35,0,0,2024-04-10 03:00:00
11953.35,11964.93,11949.93,11962.94,0,0,2024-04-10 04:00:00
11961.63,11962.34,11947.13,11952.02,0,0,2024-04-10 05:00:00
11951.99,11959.31,11940.24,11942.1,0,0,2024-04-10 06:00:00
11943.92,11971.92,11929.94,11971.92,0,0,2024-04-10 07:00:00
11955.33,11955.33,11911.22,11911.22,0,0,2024-04-11 01:00:00
11910.62,11910.62,11870.36,11870.36,0,0,2024-04-11 02:00:00
11857.45,11877.68,11854.19,11865.62,0,0,2024-04-11 03:00:00
11859.9,11868.63,11848.66,11854.52,0,0,2024-04-11 04:00:00
11850.64,11867.89,11845.04,11863.62,0,0,2024-04-11 05:00:00
11861.64,11882.9,11861.64,11874.93,0,0,2024-04-11 06:00:00
11873.25,11934.31,11873.25,11934.31,0,0,2024-04-11 07:00:00
11904.23,11914.84,11899.14,11902.97,0,0,2024-04-12 01:00:00
11901.33,11901.33,11870.59,11875.57,0,0,2024-04-12 02:00:00
11877.99,11877.99,11841.81,11851.81,0,0,2024-04-12 03:00:00
11852.89,11864.71,11841.79,11857.09,0,0,2024-04-12 04:00:00
11855.25,11870.86,11851.84,11869.13,0,0,2024-04-12 05:00:00
11868.06,11897.3,11868.06,11890.64,0,0,2024-04-12 06:00:00
11891.27,11931.32,11887.95,11931.32,0,0,2024-04-12 07:00:00
11854.22,11854.22,11804.9,11807.77,0,0,2024-04-15 01:00:00
11802.55,11818.96,11792.45,11818.96,0,0,2024-04-15 02:00:00
11822.72,11833.07,11807.12,11814.03,0,0,2024-04-15 03:00:00
11816.24,11839.02,11809.0,11838.84,0,0,2024-04-15 04:00:00
11841.52,11858.86,11829.23,11857.92,0,0,2024-04-15 05:00:00
11855.77,11885.08,11855.67,11875.37,0,0,2024-04-15 06:00:00
11875.63,11916.78,11858.34,11916.78,0,0,2024-04-15 07:00:00
11862.39,11866.17,11829.48,11839.33,0,0,2024-04-16 01:00:00
11839.33,11853.0,11833.9,11840.23,0,0,2024-04-16 02:00:00
11841.27,11842.54,11814.02,11816.87,0,0,2024-04-16 03:00:00
11815.37,11815.37,11794.27,11797.88,0,0,2024-04-16 04:00:00
11793.42,11809.39,11793.42,11809.39,0,0,2024-04-16 05:00:00
11810.31,11822.64,11800.38,11801.79,0,0,2024-04-16 06:00:00
11802.97,11808.26,11792.18,11804.84,0,0,2024-04-16 07:00:00
11782.77,11795.64,11779.78,11785.62,0,0,2024-04-17 01:00:00
11786.17,11792.33,11762.28,11792.33,0,0,2024-04-17 02:00:00
11798.75,11809.15,11776.93,11808.53,0,0,2024-04-17 03:00:00
11805.18,11809.38,11796.54,11805.38,0,0,2024-04-17 04:00:00
11804.13,11835.12,11803.18,11835.12,0,0,2024-04-17 05:00:00
11836.19,11887.15,11836.19,11879.13,0,0,2024-04-17 06:00:00
11880.21,11883.9,11864.53,11875.35,0,0,2024-04-17 07:00:00
11826.36,11826.36,11767.76,11767.76,0,0,2024-04-18 01:00:00
11767.73,11767.73,11731.12,11755.44,0,0,2024-04-18 02:00:00
11754.4,11816.86,11751.5,11803.64,0,0,2024-04-18 03:00:00
11807.36,11814.98,11783.98,11785.62,0,0,2024-04-18 04:00:00
11786.51,11801.3,11783.51,11793.85,0,0,2024-04-18 05:00:00
11792.45,11807.69,11791.23,11801.0,0,0,2024-04-18 06:00:00
11798.46,11836.04,11792.92,11836.04,0,0,2024-04-18 07:00:00
11790.97,11794.97,11770.24,11782.6,0,0,2024-04-19 01:00:00
11783.86,11812.0,11770.84,11805.93,0,0,2024-04-19 02:00:00
11802.54,11822.16,11789.11,11820.63,0,0,2024-04-19 03:00:00
11822.2,11823.12,11761.39,11771.19,0,0,2024-04-19 04:00:00
11768.05,11768.05,11737.33,11737.33,0,0,2024-04-19 05:00:00
11737.97,11750.07,11727.87,11747.04,0,0,2024-04-19 06:00:00
11746.94,11796.21,11746.94,11796.21,0,0,2024-04-19 07:00:00
11752.39,11781.05,11735.66,11735.66,0,0,2024-04-22 01:00:00
11735.91,11757.79,11732.06,11757.72,0,0,2024-04-22 02:00:00
11761.43,11854.08,11758.46,11824.34,0,0,2024-04-22 03:00:00
11823.56,11823.56,11804.15,11815.6,0,0,2024-04-22 04:00:00
11815.49,11818.12,11800.38,11802.82,0,0,2024-04-22 05:00:00
11799.36,11835.41,11799.36,11831.62,0,0,2024-04-22 06:00:00
11829.9,11852.8,11820.62,11852.8,0,0,2024-04-22 07:00:00
11823.85,11840.23,11814.11,11824.27,0,0,2024-04-23 01:00:00
11822.11,11825.24,11805.66,11814.98,0,0,2024-04-23 02:00:00
11815.17,11838.2,11815.17,11818.61,0,0,2024-04-23 03:00:00
11816.73,11823.9,11812.16,11816.43,0,0,2024-04-23 04:00:00
11817.76,11826.99,11804.81,11805.82,0,0,2024-04-23 05:00:00
11806.17,11814.32,11798.23,11808.18,0,0,2024-04-23 06:00:00
11803.96,11815.93,11796.15,11803.28,0,0,2024-04-23 07:00:00
11797.22,11810.36,11784.79,11810.36,0,0,2024-04-24 01:00:00
11810.61,11836.07,11810.61,11834.79,0,0,2024-04-24 02:00:00
11817.19,11867.52,11817.19,11866.59,0,0,2024-04-24 03:00:00
11869.4,11878.42,11852.7,11877.03,0,0,2024-04-24 04:00:00
11877.69,11879.78,11870.35,11874.27,0,0,2024-04-24 05:00:00
11876.51,11883.77,11872.4,11881.13,0,0,2024-04-24 06:00:00
11880.36,11946.43,11878.8,11946.43,0,0,2024-04-24 07:00:00
11924.43,11957.45,11907.93,11938.85,0,0,2024-04-26 01:00:00
11939.64,11967.51,11927.87,11946.53,0,0,2024-04-26 02:00:00
11946.89,11946.89,11879.14,11880.51,0,0,2024-04-26 03:00:00
11882.07,11887.14,11861.7,11861.7,0,0,2024-04-26 04:00:00
11862.53,11862.53,11835.57,11843.03,0,0,2024-04-26 05:00:00
11840.25,11842.74,11819.42,11819.65,0,0,2024-04-26 06:00:00
11820.56,11821.38,11802.13,11805.09,0,0,2024-04-26 07:00:00
11805.09,11823.42,11803.88,11804.05,0,0,2024-04-29 01:00:00
11803.54,11824.16,11801.99,11808.53,0,0,2024-04-29 02:00:00
11809.46,11866.77,11809.46,11846.27,0,0,2024-04-29 03:00:00
11845.97,11852.2,11837.84,11852.2,0,0,2024-04-29 04:00:00
11853.0,11853.0,11837.53,11847.07,0,0,2024-04-29 05:00:00
11846.45,11855.61,11831.92,11837.63,0,0,2024-04-29 06:00:00
11835.18,11916.24,11831.14,11916.24,0,0,2024-04-29 07:00:00
11911.11,11922.63,11895.64,11917.8,0,0,2024-04-30 01:00:00
11918.07,11919.21,11883.66,11890.83,0,0,2024-04-30 02:00:00
11891.63,11922.48,11886.43,11919.53,0,0,2024-04-30 03:00:00
11918.97,11930.35,11913.22,11924.2,0,0,2024-04-30 04:00:00
11923.16,11927.45,11907.24,11908.7,0,0,2024-04-30 05:00:00
11914.17,11942.53,11914.17,11936.59,0,0,2024-04-30 06:00:00
11938.06,11957.5,11930.37,11957.5,0,0,2024-04-30 07:00:00
11922.19,11922.19,11874.82,11912.18,0,0,2024-05-01 01:00:00
11911.38,11911.38,11870.02,11901.19,0,0,2024-05-01 02:00:00
11898.68,11898.68,11867.6,11872.97,0,0,2024-05-01 03:00:00
11873.92,11874.81,11849.24,11853.7,0,0,2024-05-01 04:00:00
11853.03,11861.02,11845.4,11858.98,0,0,2024-05-01 05:00:00
11856.53,11872.21,11856.53,11869.4,0,0,2024-05-01 06:00:00
11867.74,11884.06,11865.09,11867.58,0,0,2024-05-01 07:00:00
11858.97,11868.48,11855.97,11856.14,0,0,2024-05-02 01:00:00
11855.3,11862.82,11845.66,11856.88,0,0,2024-05-02 02:00:00
11864.35,11873.76,11833.46,11838.94,0,0,2024-05-02 03:00:00
11840.7,11864.12,11836.69,11864.12,0,0,2024-05-02 04:00:00
11863.65,11873.56,11856.52,11862.99,0,0,2024-05-02 05:00:00
11863.51,11872.95,11854.67,11864.85,0,0,2024-05-02 06:00:00
11862.64,11874.04,11856.13,11874.04,0,0,2024-05-02 07:00:00
11881.99,11881.99,11813.26,11814.95,0,0,2024-05-03 01:00:00
11822.22,11853.41,11820.04,11848.65,0,0,2024-05-03 02:00:00
11846.77,11878.65,11841.5,11875.53,0,0,2024-05-03 03:00:00
11874.34,11881.72,11867.34,11873.54,0,0,2024-05-03 04:00:00
11873.3,11899.05,11872.48,11899.05,0,0,2024-05-03 05:00:00
11901.0,11914.16,11892.98,11914.16,0,0,2024-05-03 06:00:00
11910.43,11938.08,11907.88,11938.08,0,0,2024-05-03 07:00:00
11855.11,11855.11,11828.27,11836.1,0,0,2024-05-06 01:00:00
11836.11,11848.05,11834.97,11834.97,0,0,2024-05-06 02:00:00
11837.9,11850.06,11817.27,11817.27,0,0,2024-05-06 03:00:00
11818.47,11836.56,11811.13,11836.56,0,0,2024-05-06 04:00:00
11839.15,11843.4,11829.49,11842.71,0,0,2024-05-06 05:00:00
11840.66,11840.85,11821.55,11831.05,0,0,2024-05-06 06:00:00
11825.02,11850.84,11817.57,11820.78,0,0,2024-05-06 07:00:00
11816.63,11822.44,11799.35,11800.8,0,0,2024-05-07 01:00:00
11801.4,11811.65,11788.15,11808.42,0,0,2024-05-07 02:00:00
11810.33,11839.31,11776.4,11786.19,0,0,2024-05-07 03:00:00
11786.54,11788.64,11756.53,11761.19,0,0,2024-05-07 04:00:00
11762.4,11780.24,11761.36,11776.83,0,0,2024-05-07 05:00:00
11777.75,11797.61,11774.52,11792.68,0,0,2024-05-07 06:00:00
11795.12,11807.48,11791.17,11800.78,0,0,2024-05-07 07:00:00
11752.53,11758.69,11741.75,11753.17,0,0,2024-05-08 01:00:00
11747.57,11773.34,11734.7,11765.35,0,0,2024-05-08 02:00:00
11770.43,11803.97,11770.42,11795.05,0,0,2024-05-08 03:00:00
11794.46,11799.87,11790.24,11793.87,0,0,2024-05-08 04:00:00
11792.02,11799.75,11789.55,11797.26,0,0,2024-05-08 05:00:00
11795.61,11795.61,11773.84,11778.57,0,0,2024-05-08 06:00:00
11778.93,11798.94,11775.44,11782.89,0,0,2024-05-08 07:00:00
11762.0,11763.05,11740.97,11746.32,0,0,2024-05-09 01:00:00
11743.4,11767.05,11728.7,11766.35,0,0,2024-05-09 02:00:00
11764.74,11767.54,11722.32,11738.6,0,0,2024-05-09 03:00:00
11732.29,11751.42,11729.31,11729.31,0,0,2024-05-09 04:00:00
11730.64,11730.64,11699.83,11700.63,0,0,2024-05-09 05:00:00
11698.88,11719.83,11698.88,11717.13,0,0,2024-05-09 06:00:00
11721.08,11746.59,11695.18,11746.58,0,0,2024-05-09 07:00:00
11738.36,11738.36,11722.81,11737.11,0,0,2024-05-10 01:00:00
11735.86,11738.74,11705.4,11736.1,0,0,2024-05-10 02:00:00
11737.32,11745.69,11720.66,11739.07,0,0,2024-05-10 03:00:00
11738.49,11745.17,11718.04,11728.84,0,0,2024-05-10 04:00:00
11727.26,11757.85,11727.26,11746.17,0,0,2024-05-10 05:00:00
11749.32,11750.78,11736.8,11742.95,0,0,2024-05-10 06:00:00
11748.21,11755.17,11729.97,11755.17,0,0,2024-05-10 07:00:00
11660.17,11660.17,11649.98,11653.88,0,0,2024-05-13 01:00:00
11654.24,11680.33,11654.24,11676.25,0,0,2024-05-13 02:00:00
11685.83,11691.32,11679.93,11690.26,0,0,2024-05-13 03:00:00
11689.5,11689.5,11648.5,11651.24,0,0,2024-05-13 04:00:00
11650.48,11653.01,11631.02,11638.77,0,0,2024-05-13 05:00:00
11639.02,11648.61,11621.79,11634.89,0,0,2024-05-13 06:00:00
11637.26,11652.16,11634.99,11652.16,0,0,2024-05-13 07:00:00
11630.1,11651.18,11617.07,11639.06,0,0,2024-05-14 01:00:00
11640.38,11657.1,11625.03,11655.19,0,0,2024-05-14 02:00:00
11656.4,11656.4,11620.13,11632.94,0,0,2024-05-14 03:00:00
11636.81,11647.86,11620.7,11621.19,0,0,2024-05-14 04:00:00
11622.34,11635.42,11610.41,11617.49,0,0,2024-05-14 05:00:00
11616.28,11624.78,11610.62,11618.81,0,0,2024-05-14 06:00:00
11620.82,11627.78,11602.97,11618.09,0,0,2024-05-14 07:00:00
11604.83,11617.77,11588.11,11596.14,0,0,2024-05-15 01:00:00
11597.15,11607.98,11589.17,11606.27,0,0,2024-05-15 02:00:00
11603.86,11615.02,11599.36,11602.12,0,0,2024-05-15 03:00:00
11601.84,11601.84,11577.71,11578.09,0,0,2024-05-15 04:00:00
11577.47,11587.95,11563.79,11565.73,0,0,2024-05-15 05:00:00
11566.19,11567.11,11537.72,11539.12,0,0,2024-05-15 06:00:00
11539.1,11544.03,11525.88,11525.88,0,0,2024-05-15 07:00:00
11531.06,11550.11,11526.76,11546.16,0,0,2024-05-16 01:00:00
11546.16,11581.13,11536.87,11572.89,0,0,2024-05-16 02:00:00
11584.08,11664.11,11583.91,11658.78,0,0,2024-05-16 03:00:00
11653.86,11679.46,11653.86,11675.39,0,0,2024-05-16 04:00:00
11681.51,11682.27,11663.46,11674.27,0,0,2024-05-16 05:00:00
11672.58,11696.89,11670.78,11696.89,0,0,2024-05-16 06:00:00
11697.15,11728.06,11689.11,11728.06,0,0,2024-05-16 07:00:00
11714.21,11736.79,11713.7,11725.25,0,0,2024-05-17 01:00:00
11722.55,11722.76,11654.88,11687.11,0,0,2024-05-17 02:00:00
11675.12,11688.71,11650.34,11688.71,0,0,2024-05-17 03:00:00
11689.34,11703.06,11689.34,11695.37,0,0,2024-05-17 04:00:00
11693.32,11701.84,11664.84,11670.85,0,0,2024-05-17 05:00:00
11670.77,11681.14,11667.73,11680.87,0,0,2024-05-17 06:00:00
