<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^SPX,60,20240709,170000,5587.13,5588.55,5577.31,5583.01,276400094,0
^SPX,60,20240709,180000,5582.97,5584.84,5576.76,5583.52,201172425,0
^SPX,60,20240709,190000,5584.55,5587.23,5580.42,5586.43,198722252,0
^SPX,60,20240709,200000,5585.24,5590.63,5577.2,5581,170789364,0
^SPX,60,20240709,210000,5580.61,5580.88,5575.59,5578.24,155979289,0
^SPX,60,20240709,220000,5578.36,5579.97,5574.67,5576.98,479244415,0
^SPX,60,20240710,160000,5590.67,5593.35,5587.63,5591.69,183171210,0
^SPX,60,20240710,170000,5592.54,5596.71,5588.6,5589.35,260811990,0
^SPX,60,20240710,180000,5589.27,5598.98,5586.73,5598.41,191737442,0
^SPX,60,20240710,190000,5598.52,5612.71,5598.49,5612.65,170608656,0
^SPX,60,20240710,200000,5612.43,5617.04,5611.05,5616.17,152009508,0
^SPX,60,20240710,210000,5616.75,5620.85,5614,5619.44,150797426,0
^SPX,60,20240710,220000,5618.86,5635.14,5616.22,5633.91,560426450,0
^SPX,60,20240711,160000,5636.58,5638.44,5631.38,5637.83,214343870,0
^SPX,60,20240711,170000,5638.63,5642.39,5602.57,5602.89,313915043,0
^SPX,60,20240711,180000,5602.62,5610.83,5583.41,5585.7,271081252,0
^SPX,60,20240711,190000,5584.39,5596.27,5579.07,5582.29,210188436,0
^SPX,60,20240711,200000,5582.76,5589.42,5576.72,5577.51,174370238,0
^SPX,60,20240711,210000,5578.72,5591.42,5576.56,5589.65,175546536,0
^SPX,60,20240711,220000,5589.87,5593.98,5583.79,5584.54,454245761,0
^SPX,60,20240712,160000,5590.76,5609.6,5590.44,5608.98,193055952,0
^SPX,60,20240712,170000,5609.16,5632.5,5606.32,5630.82,285989887,0
^SPX,60,20240712,180000,5631.53,5636.72,5629.56,5633.35,202147293,0
^SPX,60,20240712,190000,5626.37,5635.58,5620.54,5635.52,164881295,0
^SPX,60,20240712,200000,5635.52,5655.49,5634.34,5649.56,166388907,0
^SPX,60,20240712,210000,5649.7,5652.78,5645.76,5651.3,164336539,0
^SPX,60,20240712,220000,5651.23,5651.51,5611.52,5615.35,606604285,0
