<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,60,20241118,100000,91734.86,92132.84,91567.79,91806.01,2676.5061718264,0
BTC.V,60,20241118,110000,91806.02,92215.67,91645.5,91719.23,3318.877430937,0
BTC.V,60,20241118,120000,91711.01,92015.08,91678.17,91764.84,2493.428549145,0
BTC.V,60,20241118,130000,91764.83,91815.09,90054,90272.21,4762.741165138,0
BTC.V,60,20241118,140000,90275.12,90765.75,90104.41,90528,2996.636735778,0
BTC.V,60,20241118,150000,90527.99,90606.85,89385.85,89512.07,5022.983426724,0
BTC.V,60,20241118,160000,89512.08,91035.58,89448.93,90317.03,5009.4385079285,0
BTC.V,60,20241118,170000,90317.03,92601.65,90258.81,92353.84,9238.536106671,0
BTC.V,60,20241118,180000,92335.36,92583.78,91156.97,91450.63,5563.42512523,0
BTC.V,60,20241118,190000,91449.74,92185.65,90974.58,91631.53,5337.0884721401,0
BTC.V,60,20241118,200000,91642.33,91715.9,90152.26,90409.21,4539.875794129,0
BTC.V,60,20241118,210000,90409.21,90710.94,89722.37,90679.85,4935.450527017,0
BTC.V,60,20241118,220000,90679.84,92005.59,90489.37,91566.34,7189.176096967,0
BTC.V,60,20241118,230000,91581.49,92078.58,91240.7,91389.69,4069.2362187403,0
BTC.V,60,20241118,235900,91370.35,91539.68,91092.02,91230.05,2568.6078855157,0
BTC.V,60,20241119,010000,91230.05,91303.01,90298.26,90512.93,3401.3960768052,0
BTC.V,60,20241119,020000,90498.83,91259.46,90405.79,91083.01,2474.2031899406,0
BTC.V,60,20241119,030000,91083,91287.08,90661.32,90765.06,2364.9073720425,0
BTC.V,60,20241119,040000,90765.07,91327.3,90753.52,91278.1,2076.9250958485,0
BTC.V,60,20241119,050000,91292.74,91574.76,91210.39,91475.53,2041.106744722,0
BTC.V,60,20241119,060000,91475.54,91861.45,91294.55,91576.17,2563.443886452,0
BTC.V,60,20241119,070000,91580.16,91946.02,91292.83,91934.87,2158.0162190351,0
BTC.V,60,20241119,080000,91920.91,92036.11,91654.05,92015.21,2635.997304829,0
BTC.V,60,20241119,090000,92015.21,92057.96,91655.88,91668.31,2860.562265914,0
BTC.V,60,20241119,100000,91675.89,91816.79,91443.9,91816.78,2563.5662770138,0
BTC.V,60,20241119,110000,91816.78,91988.62,91235.58,91738.78,3489.939710791,0
BTC.V,60,20241119,120000,91725.52,91970.46,91535.36,91802.15,2636.403537817,0
BTC.V,60,20241119,130000,91806.38,91898,91578.01,91708.83,2083.0947708131,0
BTC.V,60,20241119,140000,91708.84,92550.86,91708.83,92526.24,6075.922081404,0
BTC.V,60,20241119,150000,92526.24,92834.38,91241.94,91259.04,7510.94874118,0
BTC.V,60,20241119,160000,91257.31,92303.65,91018.94,91869.92,7055.20256074,0
BTC.V,60,20241119,170000,91854.74,92518.1,91554.9,92451.14,7141.4134239,0
BTC.V,60,20241119,180000,92460.15,92712.27,92231.06,92636.16,5698.407516387,0
BTC.V,60,20241119,190000,92627.83,93329.2,92438.22,92937.32,8557.944394102,0
BTC.V,60,20241119,200000,92937.33,93968,92802.08,93752.95,9862.81967508,0
BTC.V,60,20241119,210000,93761.33,94015.01,93181.17,93296.39,6440.532498177,0
BTC.V,60,20241119,220000,93321.1,93655.28,92267.86,92556.92,6748.997996875,0
BTC.V,60,20241119,230000,92550.92,92839.81,91892.73,92310.23,5371.859657139,0
BTC.V,60,20241119,235900,92310.22,92534.22,91432.88,91941.9,3531.1976999485,0
BTC.V,60,20241120,010000,91926.28,92419.79,91752.73,92419.79,2711.754932408,0
BTC.V,60,20241120,020000,92436.33,92558.22,92139.84,92167.53,2348.4871575619,0
BTC.V,60,20241120,030000,92167.53,92369.7,91842.91,92112,3196.2188294255,0
BTC.V,60,20241120,040000,92112,92166.78,91718.85,91875.19,2827.9521459607,0
BTC.V,60,20241120,050000,91890.21,92156.89,91630.85,92128.04,3153.644948399,0
BTC.V,60,20241120,060000,92132.03,92363.98,91961.91,92202.29,2432.9876581488,0
BTC.V,60,20241120,070000,92202.28,92604.51,92044.08,92597.97,2527.4406107409,0
BTC.V,60,20241120,080000,92597.98,92747.58,92434.78,92473.66,2175.655400772,0
BTC.V,60,20241120,090000,92473.65,92943.01,92381.22,92937.66,2575.7111487129,0
BTC.V,60,20241120,100000,92937.66,93417.33,92805.82,93282.95,3795.301079539,0
BTC.V,60,20241120,110000,93282.96,93753.35,93049.95,93177.28,4263.6124311451,0
BTC.V,60,20241120,120000,93177.28,93603.23,93096.69,93362.44,2500.2073397034,0
