<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<DATETIME>
9156.76,9187.36,9138.33,9138.33,0,0,2024-10-07 14:00:00
9134.79,9164.16,9122.46,9125.0,0,0,2024-10-07 15:00:00
9124.13,9142.75,9048.94,9048.94,0,0,2024-10-07 16:00:00
9042.18,9054.1,9008.13,9031.64,0,0,2024-10-07 17:00:00
9040.75,9063.04,8979.39,9028.86,0,0,2024-10-08 10:00:00
9032.5,9055.57,9010.73,9045.14,0,0,2024-10-08 11:00:00
9051.35,9087.79,9049.98,9060.61,0,0,2024-10-08 12:00:00
9062.24,9079.29,9027.14,9038.17,0,0,2024-10-08 13:00:00
9034.58,9057.29,9027.51,9045.82,0,0,2024-10-08 14:00:00
9045.9,9145.2,9045.9,9104.26,0,0,2024-10-08 15:00:00
9109.37,9150.52,9095.7,9096.88,0,0,2024-10-08 16:00:00
9096.73,9096.73,9007.58,9044.89,0,0,2024-10-08 17:00:00
9043.91,9057.85,8931.06,8950.38,0,0,2024-10-09 10:00:00
8947.25,8967.14,8931.33,8962.81,0,0,2024-10-09 11:00:00
8958.04,8962.53,8943.29,8946.38,0,0,2024-10-09 12:00:00
8946.05,8954.42,8916.22,8927.9,0,0,2024-10-09 13:00:00
8928.01,8950.2,8919.7,8927.2,0,0,2024-10-09 14:00:00
8928.61,8947.57,8903.07,8934.23,0,0,2024-10-09 15:00:00
8932.63,9010.7,8915.22,8992.77,0,0,2024-10-09 16:00:00
8994.14,9132.3,8955.98,9132.3,0,0,2024-10-09 17:00:00
9137.3,9174.87,9092.55,9112.93,0,0,2024-10-10 10:00:00
9118.95,9146.66,9107.66,9124.88,0,0,2024-10-10 11:00:00
9124.86,9152.87,9118.78,9129.99,0,0,2024-10-10 12:00:00
9130.12,9145.58,9118.74,9130.34,0,0,2024-10-10 13:00:00
9129.83,9135.13,9096.74,9106.91,0,0,2024-10-10 14:00:00
9106.33,9108.55,9060.31,9064.55,0,0,2024-10-10 15:00:00
9061.77,9081.1,8985.66,8985.66,0,0,2024-10-10 16:00:00
8979.36,9032.09,8964.1,8964.1,0,0,2024-10-10 17:00:00
8987.04,9032.74,8964.35,9029.27,0,0,2024-10-11 10:00:00
9038.17,9078.37,9023.14,9028.46,0,0,2024-10-11 11:00:00
9037.15,9052.19,9018.13,9026.2,0,0,2024-10-11 12:00:00
9024.79,9039.51,9014.79,9037.54,0,0,2024-10-11 13:00:00
9038.69,9075.24,9031.99,9048.31,0,0,2024-10-11 14:00:00
9050.04,9061.88,9011.28,9041.95,0,0,2024-10-11 15:00:00
9038.03,9039.19,8896.34,8898.91,0,0,2024-10-11 16:00:00
8885.82,8929.6,8839.94,8876.22,0,0,2024-10-11 17:00:00
8885.45,8885.45,8787.11,8790.96,0,0,2024-10-14 10:00:00
8790.36,8793.01,8739.62,8752.67,0,0,2024-10-14 11:00:00
8752.39,8777.58,8745.56,8752.8,0,0,2024-10-14 12:00:00
8749.6,8750.5,8713.19,8717.0,0,0,2024-10-14 13:00:00
8715.86,8757.42,8703.27,8736.9,0,0,2024-10-14 14:00:00
8740.78,8770.37,8714.27,8745.93,0,0,2024-10-14 15:00:00
8746.66,8777.76,8683.04,8767.29,0,0,2024-10-14 16:00:00
8776.44,8788.73,8699.19,8699.19,0,0,2024-10-14 17:00:00
8709.81,8751.57,8693.57,8707.54,0,0,2024-10-15 10:00:00
8703.85,8755.78,8685.52,8723.68,0,0,2024-10-15 11:00:00
8723.01,8785.88,8722.73,8784.33,0,0,2024-10-15 12:00:00
8786.83,8890.29,8786.83,8841.93,0,0,2024-10-15 13:00:00
8841.86,8851.39,8761.06,8802.61,0,0,2024-10-15 14:00:00
8802.44,8829.84,8761.27,8773.11,0,0,2024-10-15 15:00:00
8772.23,8837.08,8763.08,8779.76,0,0,2024-10-15 16:00:00
8777.98,8877.92,8777.98,8860.3,0,0,2024-10-15 17:00:00
8849.06,8869.03,8819.58,8834.67,0,0,2024-10-16 10:00:00
8835.1,8837.96,8800.89,8835.37,0,0,2024-10-16 11:00:00
8834.86,8841.9,8822.32,8830.37,0,0,2024-10-16 12:00:00
8827.77,8828.99,8813.42,8818.56,0,0,2024-10-16 13:00:00
8818.21,8836.21,8804.06,8830.51,0,0,2024-10-16 14:00:00
8831.17,8838.58,8781.1,8794.7,0,0,2024-10-16 15:00:00
8794.68,8858.4,8794.21,8831.66,0,0,2024-10-16 16:00:00
8838.29,8962.84,8810.38,8956.03,0,0,2024-10-16 17:00:00
8948.59,9022.84,8940.96,9012.76,0,0,2024-10-17 10:00:00
9007.93,9046.09,9005.55,9019.88,0,0,2024-10-17 11:00:00
9020.69,9027.83,8994.69,9012.9,0,0,2024-10-17 12:00:00
9012.18,9028.51,9006.43,9022.22,0,0,2024-10-17 13:00:00
9020.87,9020.87,8965.72,8966.01,0,0,2024-10-17 14:00:00
8960.4,8981.02,8928.83,8974.88,0,0,2024-10-17 15:00:00
8977.18,9058.36,8975.38,9010.12,0,0,2024-10-17 16:00:00
9008.78,9034.17,8951.37,9002.34,0,0,2024-10-17 17:00:00
9018.59,9069.54,9016.53,9050.14,0,0,2024-10-18 10:00:00
9051.38,9063.55,8992.66,8993.22,0,0,2024-10-18 11:00:00
8991.62,9007.17,8960.14,8976.73,0,0,2024-10-18 12:00:00
8971.93,8978.34,8925.09,8951.71,0,0,2024-10-18 13:00:00
8950.37,8961.37,8937.22,8939.8,0,0,2024-10-18 14:00:00
8937.82,8965.33,8930.62,8936.43,0,0,2024-10-18 15:00:00
8936.06,8936.47,8859.72,8864.55,0,0,2024-10-18 16:00:00
