<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XRP.V,60,20240805,230000,0.479991,0.491049,0.479391,0.490949,26635014.040929,0
XRP.V,60,20240805,235900,0.491049,0.498365,0.488059,0.490393,27621058.471122,0
XRP.V,60,20240806,010000,0.490593,0.497565,0.489769,0.496089,20448840.436567,0
XRP.V,60,20240806,020000,0.496289,0.49989,0.488237,0.488937,24547449.224539,0
XRP.V,60,20240806,030000,0.489037,0.513903,0.488037,0.512508,50269387.971719,0
XRP.V,60,20240806,040000,0.512608,0.516208,0.505572,0.510748,41918268.023582,0
XRP.V,60,20240806,050000,0.510648,0.513195,0.508293,0.510999,24398043.990851,0
XRP.V,60,20240806,060000,0.510699,0.513785,0.509494,0.511594,26995374.973521,0
XRP.V,60,20240806,070000,0.511594,0.5122,0.505828,0.509144,27472870.586184,0
XRP.V,60,20240806,080000,0.509144,0.515804,0.507243,0.514845,22977246.61936,0
XRP.V,60,20240806,090000,0.514945,0.518589,0.512633,0.514901,36876416.73421,0
XRP.V,60,20240806,100000,0.514801,0.518606,0.511068,0.516953,44075995.519149,0
XRP.V,60,20240806,110000,0.516953,0.517053,0.500945,0.503516,38234924.89514,0
XRP.V,60,20240806,120000,0.503616,0.503621,0.498775,0.502046,34746916.694888,0
XRP.V,60,20240806,130000,0.502246,0.503196,0.497685,0.5,22394474.29414,0
XRP.V,60,20240806,140000,0.5,0.506427,0.497399,0.503626,36323123.324321,0
XRP.V,60,20240806,150000,0.503626,0.507247,0.49944,0.500045,27894147.06337,0
XRP.V,60,20240806,160000,0.499745,0.50395,0.494734,0.501715,23019284.623801,0
XRP.V,60,20240806,170000,0.501615,0.51706,0.50111,0.512492,12483027.266183,0
XRP.V,60,20240806,180000,0.512392,0.515377,0.503976,0.511228,24138994.132443,0
XRP.V,60,20240806,190000,0.511228,0.517609,0.508547,0.516024,33966268.412755,0
XRP.V,60,20240806,200000,0.516029,0.517309,0.511579,0.511679,14199009.847375,0
XRP.V,60,20240806,210000,0.511579,0.516703,0.511379,0.514403,10177024.918779,0
XRP.V,60,20240806,220000,0.514503,0.517198,0.510933,0.512002,17901465.956012,0
XRP.V,60,20240806,230000,0.511902,0.513103,0.508007,0.509994,16373047.447322,0
XRP.V,60,20240806,235900,0.509994,0.510894,0.506397,0.510094,9688435.366726,0
XRP.V,60,20240807,010000,0.510094,0.515175,0.505177,0.507898,13816698.97872,0
XRP.V,60,20240807,020000,0.507798,0.508793,0.503591,0.506392,8717224.961858,0
XRP.V,60,20240807,030000,0.506392,0.508193,0.50099,0.506392,21145434.556697,0
XRP.V,60,20240807,040000,0.506392,0.512164,0.500605,0.511764,21922140.07009,0
XRP.V,60,20240807,050000,0.511764,0.515686,0.507783,0.511551,18367337.155776,0
XRP.V,60,20240807,060000,0.51145,0.517076,0.51145,0.515422,28738460.945059,0
XRP.V,60,20240807,070000,0.515527,0.519134,0.514052,0.515273,30099983.689214,0
XRP.V,60,20240807,080000,0.515273,0.516679,0.51145,0.511656,13140973.616716,0
XRP.V,60,20240807,090000,0.511456,0.514003,0.510596,0.511697,20122638.513142,0
XRP.V,60,20240807,100000,0.511697,0.515958,0.50977,0.513236,19739588.081797,0
XRP.V,60,20240807,110000,0.513336,0.516317,0.513005,0.515932,13005962.773634,0
XRP.V,60,20240807,120000,0.516032,0.518992,0.514806,0.515601,29521803.748609,0
XRP.V,60,20240807,130000,0.515601,0.519508,0.514906,0.515111,14130776.410177,0
XRP.V,60,20240807,140000,0.515011,0.518043,0.512551,0.514242,23172602.433551,0
XRP.V,60,20240807,150000,0.514236,0.517553,0.513036,0.516427,21128846.788777,0
XRP.V,60,20240807,160000,0.516427,0.517107,0.506572,0.508278,21015765.392578,0
XRP.V,60,20240807,170000,0.508473,0.509278,0.494659,0.49869,6596177.9799166,0
XRP.V,60,20240807,180000,0.49879,0.50209,0.496994,0.49963,7113829.7551171,0
XRP.V,60,20240807,190000,0.49984,0.504451,0.49764,0.504346,5824945.4049075,0
XRP.V,60,20240807,200000,0.504146,0.505547,0.501375,0.502955,3127103.2129775,0
XRP.V,60,20240807,210000,0.502755,0.506505,0.499205,0.5,4221634.460715,0
XRP.V,60,20240807,220000,0.5003,0.538343,0.500105,0.536543,33840124.362146,0
XRP.V,60,20240807,230000,0.536243,0.631732,0.514141,0.602108,125081109.35481,0
XRP.V,60,20240807,235900,0.602008,0.642716,0.594413,0.626663,163781784.68252,0
XRP.V,60,20240808,010000,0.627163,0.635364,0.597867,0.613161,89969188.34155,0
XRP.V,60,20240808,020000,0.613761,0.614861,0.59536,0.60016,87386728.859968,0
XRP.V,60,20240808,030000,0.60046,0.60296,0.578869,0.584276,59302194.456442,0
XRP.V,60,20240808,040000,0.58427,0.607903,0.58297,0.607255,22549672.28361,0
XRP.V,60,20240808,050000,0.607255,0.620118,0.603448,0.618618,30965994.250485,0
XRP.V,60,20240808,060000,0.618618,0.623812,0.611873,0.611873,47113993.445054,0
XRP.V,60,20240808,070000,0.611173,0.61698,0.595389,0.595983,44656735.073171,0
XRP.V,60,20240808,080000,0.596183,0.606985,0.594883,0.605209,37786555.850941,0
XRP.V,60,20240808,090000,0.605309,0.609516,0.601708,0.605621,38124086.703542,0
XRP.V,60,20240808,100000,0.605521,0.607964,0.597261,0.606352,39711429.678001,0
XRP.V,60,20240808,110000,0.606152,0.620324,0.605551,0.619111,37444396.349556,0
XRP.V,60,20240808,120000,0.618911,0.622518,0.609916,0.614111,37370038.269344,0
XRP.V,60,20240808,130000,0.614211,0.618317,0.608616,0.615717,26428828.75321,0
XRP.V,60,20240808,140000,0.615911,0.621224,0.61391,0.615611,19997718.979043,0
XRP.V,60,20240808,150000,0.615917,0.619024,0.606121,0.613823,18484539.590426,0
XRP.V,60,20240808,160000,0.614123,0.616723,0.60182,0.602621,6735658.62535,0
XRP.V,60,20240808,170000,0.602621,0.613502,0.60242,0.611276,5454037.4872116,0
XRP.V,60,20240808,180000,0.611276,0.618927,0.609112,0.613641,6960015.0182911,0
XRP.V,60,20240808,190000,0.614242,0.620568,0.608111,0.618164,6812816.7514182,0
XRP.V,60,20240808,200000,0.618164,0.627978,0.617625,0.622995,8923503.8401104,0
XRP.V,60,20240808,210000,0.623196,0.629543,0.620229,0.627603,6740511.1339005,0
XRP.V,60,20240808,220000,0.627703,0.643127,0.62073,0.622332,16305449.180651,0
XRP.V,60,20240808,230000,0.622432,0.623133,0.612957,0.612957,7830975.7488294,0
XRP.V,60,20240808,235900,0.612256,0.614684,0.606282,0.613284,41578956.741513,0
XRP.V,60,20240809,010000,0.613484,0.614172,0.6067,0.611771,25595071.800582,0
XRP.V,60,20240809,020000,0.611971,0.620974,0.611971,0.616529,43258468.680244,0
XRP.V,60,20240809,030000,0.61743,0.618936,0.61054,0.612484,21251762.507471,0
XRP.V,60,20240809,040000,0.612484,0.61526,0.608983,0.614354,18772809.470418,0
XRP.V,60,20240809,050000,0.614654,0.61646,0.61416,0.61486,1885125.23072,0
XRP.V,60,20240809,100000,0.604663,0.604881,0.601044,0.602915,19040056.491,0
XRP.V,60,20240809,110000,0.603115,0.605121,0.601808,0.604721,11043783.155959,0
XRP.V,60,20240809,120000,0.604721,0.604921,0.583411,0.587818,45346288.705525,0
XRP.V,60,20240809,130000,0.587718,0.590918,0.584217,0.588006,22973852.52178,0
XRP.V,60,20240809,140000,0.588006,0.589212,0.583393,0.586759,15829033.786361,0
XRP.V,60,20240809,150000,0.586759,0.588759,0.58011,0.583287,24896744.942601,0
XRP.V,60,20240809,160000,0.583087,0.586188,0.568559,0.575421,13154370.083572,0
XRP.V,60,20240809,170000,0.575521,0.581716,0.571477,0.578791,6641455.470603,0
XRP.V,60,20240809,180000,0.579091,0.581369,0.571814,0.573209,10188973.739119,0
XRP.V,60,20240809,190000,0.573309,0.584411,0.572009,0.578416,25861810.347335,0
XRP.V,60,20240809,200000,0.578316,0.580716,0.576009,0.57651,11609074.264973,0
XRP.V,60,20240809,210000,0.576309,0.580116,0.573015,0.579916,9421515.595637,0
XRP.V,60,20240809,220000,0.579816,0.583117,0.57791,0.581239,8929703.003908,0
XRP.V,60,20240809,230000,0.581039,0.582151,0.576167,0.57912,13397283.474467,0
XRP.V,60,20240809,235900,0.579126,0.58048,0.573924,0.578979,13734284.627846,0
XRP.V,60,20240810,010000,0.57928,0.582821,0.577102,0.581627,6211057.9034564,0
XRP.V,60,20240810,020000,0.581627,0.582621,0.577419,0.580721,8616996.8539792,0
XRP.V,60,20240810,030000,0.580721,0.586223,0.578125,0.580209,4519035.1538324,0
XRP.V,60,20240810,040000,0.580009,0.584075,0.579674,0.580274,6138916.1661947,0
XRP.V,60,20240810,050000,0.580174,0.584075,0.579674,0.584075,5101359.5341936,0
XRP.V,60,20240810,060000,0.583975,0.594326,0.582498,0.589377,17336782.845362,0
XRP.V,60,20240810,070000,0.589477,0.592272,0.58487,0.587576,13771054.327292,0
XRP.V,60,20240810,080000,0.587376,0.588176,0.584475,0.585152,9455344.5814525,0
XRP.V,60,20240810,090000,0.584058,0.589659,0.583958,0.588553,10417607.56322,0
XRP.V,60,20240810,100000,0.588653,0.589159,0.584452,0.586741,6564704.8277333,0
XRP.V,60,20240810,110000,0.586741,0.588206,0.584911,0.587006,7627930.0692659,0
XRP.V,60,20240810,120000,0.587006,0.5882,0.584699,0.5864,5446516.6190344,0
XRP.V,60,20240810,130000,0.5865,0.590789,0.5862,0.587394,5073793.1540785,0
XRP.V,60,20240810,140000,0.587294,0.590494,0.586811,0.589588,4340779.145716,0
XRP.V,60,20240810,150000,0.589583,0.602102,0.589182,0.601396,31143462.04751,0
XRP.V,60,20240810,160000,0.600996,0.602196,0.593595,0.594095,14829161.698541,0
XRP.V,60,20240810,170000,0.593995,0.599714,0.593595,0.597113,10152817.376279,0
XRP.V,60,20240810,180000,0.597013,0.601702,0.594613,0.59909,10093500.211154,0
XRP.V,60,20240810,190000,0.59909,0.60119,0.593801,0.595807,16004474.171518,0
XRP.V,60,20240810,200000,0.595607,0.598208,0.594707,0.595901,11442283.958289,0
XRP.V,60,20240810,210000,0.595607,0.596607,0.588194,0.594019,19959091.472907,0
XRP.V,60,20240810,220000,0.594119,0.595725,0.589906,0.591212,9146749.8674859,0
XRP.V,60,20240810,230000,0.591312,0.595013,0.591012,0.594907,5624647.4065832,0
XRP.V,60,20240810,235900,0.595307,0.595513,0.588812,0.590412,11195373.944915,0
XRP.V,60,20240811,010000,0.590412,0.590795,0.5854,0.587,11706169.228611,0
XRP.V,60,20240811,020000,0.5873,0.5873,0.582499,0.584199,16395636.213105,0
XRP.V,60,20240811,030000,0.584199,0.590712,0.582905,0.589306,11881235.576189,0
XRP.V,60,20240811,040000,0.589306,0.591412,0.587506,0.591312,6315610.1033341,0
XRP.V,60,20240811,050000,0.591512,0.593413,0.589871,0.590577,9312705.875123,0
XRP.V,60,20240811,060000,0.590577,0.592677,0.588571,0.588877,10055633.543961,0
XRP.V,60,20240811,070000,0.589077,0.590171,0.586194,0.587306,6001915.5873548,0
XRP.V,60,20240811,080000,0.587306,0.591006,0.586906,0.5904,5414595.3053364,0
XRP.V,60,20240811,090000,0.5903,0.593401,0.5899,0.590706,8245543.7496534,0
XRP.V,60,20240811,100000,0.590706,0.592107,0.5894,0.591495,7609084.9269151,0
XRP.V,60,20240811,110000,0.591495,0.592795,0.589688,0.590083,5114074.5235816,0
XRP.V,60,20240811,120000,0.589983,0.592577,0.57721,0.580328,21494980.901737,0
XRP.V,60,20240811,130000,0.580328,0.583034,0.577827,0.580528,11641345.675052,0
XRP.V,60,20240811,140000,0.580528,0.581634,0.573755,0.576161,12830928.366287,0
XRP.V,60,20240811,150000,0.575861,0.576561,0.569365,0.575667,16939856.355927,0
XRP.V,60,20240811,160000,0.575467,0.575667,0.57016,0.573655,12835479.043235,0
XRP.V,60,20240811,170000,0.573455,0.575561,0.565364,0.567559,18481594.814705,0
XRP.V,60,20240811,180000,0.567659,0.569771,0.563269,0.566776,10568134.157386,0
XRP.V,60,20240811,190000,0.566876,0.570871,0.56577,0.569165,8475385.3441157,0
XRP.V,60,20240811,200000,0.569065,0.57126,0.567159,0.570365,9295084.993312,0
XRP.V,60,20240811,210000,0.570365,0.571166,0.568365,0.569059,7361547.7101734,0
XRP.V,60,20240811,220000,0.569159,0.569159,0.559062,0.559317,20778893.350527,0
XRP.V,60,20240811,230000,0.559417,0.559734,0.551261,0.551861,17211123.915312,0
XRP.V,60,20240811,235900,0.551861,0.556556,0.54906,0.555156,22402909.493281,0
XRP.V,60,20240812,010000,0.555156,0.556556,0.545449,0.552133,28470355.715381,0
XRP.V,60,20240812,020000,0.552133,0.553844,0.548233,0.552839,13010896.444802,0
XRP.V,60,20240812,030000,0.552839,0.557945,0.550217,0.555833,11000868.666127,0
XRP.V,60,20240812,040000,0.555833,0.561467,0.554528,0.560362,19382894.357628,0
XRP.V,60,20240812,050000,0.560362,0.561734,0.558145,0.560934,13774903.957218,0
XRP.V,60,20240812,060000,0.560934,0.566328,0.558928,0.564328,16735878.395859,0
XRP.V,60,20240812,070000,0.564328,0.565628,0.559667,0.559667,9307968.1442455,0
XRP.V,60,20240812,080000,0.559667,0.565368,0.559567,0.563562,19308849.269349,0
XRP.V,60,20240812,090000,0.563562,0.564502,0.561562,0.562529,11141629.889025,0
XRP.V,60,20240812,100000,0.562429,0.570897,0.557467,0.567868,12678604.865219,0
XRP.V,60,20240812,110000,0.567968,0.576363,0.567968,0.571151,17850590.12998,0
XRP.V,60,20240812,120000,0.571151,0.575452,0.569302,0.569914,12615881.077787,0
XRP.V,60,20240812,130000,0.569714,0.574726,0.567113,0.573766,18807039.389954,0
XRP.V,60,20240812,140000,0.573661,0.579362,0.573661,0.576407,10044007.998783,0
XRP.V,60,20240812,150000,0.576307,0.57721,0.572989,0.575792,11072709.85108,0
XRP.V,60,20240812,160000,0.575786,0.576992,0.558606,0.560106,20454078.247205,0
XRP.V,60,20240812,170000,0.560106,0.57651,0.5554,0.575003,17124081.544236,0
XRP.V,60,20240812,180000,0.575304,0.577104,0.568008,0.571531,17953894.694621,0
XRP.V,60,20240812,190000,0.571531,0.578804,0.569408,0.572003,38973000.540459,0
XRP.V,60,20240812,200000,0.571803,0.575003,0.569502,0.569803,16724695.959138,0
XRP.V,60,20240812,210000,0.569897,0.571203,0.561201,0.562507,14063402.05796,0
XRP.V,60,20240812,220000,0.562507,0.571108,0.562507,0.569408,15378704.974736,0
XRP.V,60,20240812,230000,0.569308,0.570103,0.564256,0.564956,15617534.816136,0
XRP.V,60,20240812,235900,0.565056,0.566474,0.560106,0.564362,13193065.993123,0
XRP.V,60,20240813,010000,0.564362,0.568051,0.564256,0.565851,9022519.437318,0
XRP.V,60,20240813,020000,0.565851,0.572157,0.565351,0.568491,8188929.1612421,0
