<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^NZ50,60,20240524,010000,11778.28,11783.03,11737.26,11748.94,0,0
^NZ50,60,20240524,020000,11747.94,11772.98,11735.53,11757.25,0,0
^NZ50,60,20240524,030000,11742.86,11742.86,11688.02,11689.7,0,0
^NZ50,60,20240524,040000,11682.66,11701.2,11682.32,11697.66,0,0
^NZ50,60,20240524,050000,11697.81,11726.16,11691.94,11726.16,0,0
^NZ50,60,20240524,060000,11723.27,11751.3,11722.48,11727.73,0,0
^NZ50,60,20240524,070000,11727.04,11783.39,11726.48,11783.39,0,0
^NZ50,60,20240527,010000,11735.73,11740.99,11710.2,11725.93,0,0
^NZ50,60,20240527,020000,11722.74,11734.7,11714.6,11733.35,0,0
^NZ50,60,20240527,030000,11737.12,11752.31,11724.84,11751.33,0,0
^NZ50,60,20240527,040000,11751.91,11758.51,11736.43,11754.69,0,0
^NZ50,60,20240527,050000,11758.62,11770.86,11756.9,11767.04,0,0
^NZ50,60,20240527,060000,11765.53,11765.53,11749.2,11761.51,0,0
^NZ50,60,20240527,070000,11760.81,11771.82,11756,11756,0,0
^NZ50,60,20240528,010000,11759.74,11775.61,11759.74,11762.44,0,0
^NZ50,60,20240528,020000,11758.66,11774,11758.66,11761.13,0,0
^NZ50,60,20240528,030000,11752.11,11779.86,11750.57,11751.52,0,0
^NZ50,60,20240528,040000,11748.61,11748.61,11707.33,11714,0,0
^NZ50,60,20240528,050000,11708.61,11727.25,11699.95,11713.09,0,0
^NZ50,60,20240528,060000,11711.88,11736.63,11709.31,11712.12,0,0
^NZ50,60,20240528,070000,11713.83,11713.83,11682.51,11682.51,0,0
^NZ50,60,20240529,010000,11682.69,11709.48,11680.82,11699.95,0,0
^NZ50,60,20240529,020000,11699.65,11729.02,11695.88,11720.69,0,0
^NZ50,60,20240529,030000,11732.53,11745.73,11706.18,11744.63,0,0
^NZ50,60,20240529,040000,11744.79,11757.53,11707.06,11709.62,0,0
^NZ50,60,20240529,050000,11710.41,11710.41,11679.53,11685.32,0,0
^NZ50,60,20240529,060000,11682.64,11717.88,11682.64,11705.62,0,0
^NZ50,60,20240529,070000,11704.8,11719.98,11678.68,11678.68,0,0
^NZ50,60,20240530,010000,11674.17,11674.17,11607.73,11618.42,0,0
^NZ50,60,20240530,020000,11618.5,11634.45,11608.06,11608.28,0,0
^NZ50,60,20240530,030000,11620.65,11629.09,11585.6,11592.73,0,0
^NZ50,60,20240530,040000,11593.35,11595.37,11571.75,11579.99,0,0
^NZ50,60,20240530,050000,11581.28,11588.72,11569.99,11581.82,0,0
^NZ50,60,20240530,060000,11585.63,11585.63,11567.8,11569.2,0,0
^NZ50,60,20240530,070000,11569.58,11584.24,11557.21,11557.21,0,0
^NZ50,60,20240531,010000,11557.21,11655.26,11557.21,11652.19,0,0
^NZ50,60,20240531,020000,11651.71,11678.99,11639.68,11670.81,0,0
^NZ50,60,20240531,030000,11672.66,11724.29,11672.66,11720.23,0,0
^NZ50,60,20240531,040000,11718.96,11723.83,11700.81,11701.06,0,0
^NZ50,60,20240531,050000,11705.64,11722.37,11682.66,11713.83,0,0
^NZ50,60,20240531,060000,11717.09,11781.78,11717.09,11758.16,0,0
^NZ50,60,20240531,070000,11754.87,11867.29,11748.56,11867.29,0,0
^NZ50,60,20240604,010000,11816.28,11822.65,11777.8,11798.09,0,0
^NZ50,60,20240604,020000,11790.69,11813.94,11755.72,11813.84,0,0
^NZ50,60,20240604,030000,11802.2,11864.29,11802.16,11861.14,0,0
^NZ50,60,20240604,040000,11863.63,11867.32,11837.96,11856.39,0,0
^NZ50,60,20240604,050000,11855.09,11886.6,11850.62,11882.19,0,0
^NZ50,60,20240604,060000,11881.85,11889.61,11870.58,11876.49,0,0
^NZ50,60,20240604,070000,11879.38,11889.33,11871.55,11880.54,0,0
^NZ50,60,20240605,010000,11875.29,11888.01,11860.43,11860.95,0,0
^NZ50,60,20240605,020000,11859.27,11889.23,11846.33,11881.52,0,0
^NZ50,60,20240605,030000,11874.87,11910.43,11863.95,11903.98,0,0
^NZ50,60,20240605,040000,11905.72,11929.75,11905.16,11928.82,0,0
^NZ50,60,20240605,050000,11924.38,11946.59,11914.06,11946.59,0,0
^NZ50,60,20240605,060000,11946.08,11988.48,11944.6,11982.54,0,0
^NZ50,60,20240605,070000,11982.43,12023.3,11982.43,11996.71,0,0
^NZ50,60,20240606,010000,11942.09,11946.86,11890.67,11890.67,0,0
^NZ50,60,20240606,020000,11887.84,11940.66,11878,11922.21,0,0
^NZ50,60,20240606,030000,11938.69,11972.15,11938.69,11972.15,0,0
^NZ50,60,20240606,040000,11973.51,11997.33,11971.42,11992.99,0,0
^NZ50,60,20240606,050000,11988.18,11988.76,11967.52,11977.28,0,0
^NZ50,60,20240606,060000,11977.05,12002.93,11973.93,11982.82,0,0
^NZ50,60,20240606,070000,11991.94,12002.63,11971.52,11973.01,0,0
^NZ50,60,20240607,010000,11960.64,11964.17,11924.52,11931.43,0,0
^NZ50,60,20240607,020000,11930.32,11945.49,11925.7,11927.27,0,0
^NZ50,60,20240607,030000,11927.93,11972.97,11925.98,11951.4,0,0
^NZ50,60,20240607,040000,11945.69,11952.37,11919.81,11952.37,0,0
^NZ50,60,20240607,050000,11951.63,11956.99,11924.02,11925.68,0,0
^NZ50,60,20240607,060000,11931.15,11934.89,11912.09,11919.67,0,0
^NZ50,60,20240607,070000,11919.17,11924.16,11856.56,11856.56,0,0
^NZ50,60,20240610,010000,11845.51,11845.51,11805.9,11806.27,0,0
^NZ50,60,20240610,020000,11804.95,11804.95,11783.72,11788.37,0,0
^NZ50,60,20240610,030000,11786.85,11786.85,11766.22,11772.45,0,0
^NZ50,60,20240610,040000,11774.96,11784.22,11758.93,11774.3,0,0
^NZ50,60,20240610,050000,11772.92,11792.77,11771.16,11784.61,0,0
^NZ50,60,20240610,060000,11783.82,11790.48,11772.85,11782.8,0,0
^NZ50,60,20240610,070000,11784.93,11804.14,11780.07,11787.57,0,0
^NZ50,60,20240611,010000,11793.88,11794.17,11773.28,11779.5,0,0
^NZ50,60,20240611,020000,11780.13,11816.08,11779.71,11807.19,0,0
^NZ50,60,20240611,030000,11810.63,11824.35,11802.25,11815.93,0,0
